date,open,close,high,low,volume,volume
2023-09-21,20.83,20.85,21.1,20.63,19695.0,19695.0
2023-09-22,20.88,21.53,21.91,20.66,46427.0,46427.0
2023-09-25,21.11,21.22,21.52,20.89,37256.0,37256.0
2023-09-26,21.14,21.73,22.5,21.14,56289.0,56289.0
2023-09-27,21.66,21.78,22.38,21.45,41500.0,41500.0
2023-09-28,21.9,22.0,22.42,21.7,29928.0,29928.0
2023-10-09,22.17,21.63,22.17,21.48,27486.0,27486.0
2023-10-10,21.63,22.25,22.5,21.61,47482.0,47482.0
2023-10-11,22.23,22.02,22.31,21.61,35302.0,35302.0
2023-10-12,22.77,21.8,22.77,21.71,36802.0,36802.0
2023-10-13,21.62,21.55,21.79,21.39,25054.0,25054.0
2023-10-16,21.63,21.8,22.18,21.45,27747.0,27747.0
2023-10-17,22.1,22.44,22.77,21.92,55171.0,55171.0
2023-10-18,22.02,21.57,22.28,21.18,43664.0,43664.0
2023-10-19,21.38,21.09,21.91,21.07,29619.0,29619.0
2023-10-20,21.01,20.44,21.23,20.34,28802.0,28802.0
2023-10-23,20.27,19.3,20.4,19.2,35543.0,35543.0
2023-10-24,19.35,19.49,20.09,18.93,43804.0,43804.0
2023-10-25,19.52,20.38,20.67,19.42,48103.0,48103.0
2023-10-26,20.26,20.52,20.77,20.15,31367.0,31367.0
2023-10-27,20.53,19.9,20.58,19.6,47777.0,47777.0
2023-10-30,19.55,20.1,20.12,19.19,52159.0,52159.0
2023-10-31,19.99,19.91,20.38,19.64,34154.0,34154.0
2023-11-01,19.85,19.68,20.15,19.63,25905.0,25905.0
2023-11-02,19.71,19.2,19.83,19.19,28834.0,28834.0
2023-11-03,19.38,19.95,20.03,19.25,40926.0,40926.0
2023-11-06,19.97,20.5,20.5,19.97,33001.0,33001.0
2023-11-07,20.5,20.48,20.66,20.18,25560.0,25560.0
2023-11-08,20.6,21.11,21.49,20.49,51294.0,51294.0
2023-11-09,21.15,21.59,21.85,21.05,51720.0,51720.0
2023-11-10,21.26,21.16,21.5,21.01,30616.0,30616.0
2023-11-13,21.15,21.67,21.8,21.15,32025.0,32025.0
2023-11-14,21.69,23.84,23.84,21.69,82237.0,82237.0
2023-11-15,23.84,23.75,24.91,23.6,206248.0,206248.0
2023-11-16,23.57,23.53,24.37,23.2,137878.0,137878.0
2023-11-17,23.42,23.3,23.58,23.08,72207.0,72207.0
2023-11-20,23.3,23.29,23.42,22.86,69715.0,69715.0
2023-11-21,23.46,22.99,23.51,22.91,54716.0,54716.0
2023-11-22,22.79,22.65,23.25,22.65,46090.0,46090.0
2023-11-23,22.51,22.8,22.88,22.18,44668.0,44668.0
2023-11-24,22.71,22.12,22.72,21.98,39937.0,39937.0
2023-11-27,22.12,22.99,22.99,21.98,75406.0,75406.0
2023-11-28,23.2,23.01,23.36,22.2,97183.0,97183.0
2023-11-29,23.02,23.19,23.78,22.75,90586.0,90586.0
2023-11-30,23.39,24.04,24.11,22.91,147614.0,147614.0
2023-12-01,23.69,23.16,23.89,22.81,111390.0,111390.0
2023-12-04,22.8,22.91,23.19,22.76,54110.0,54110.0
